id,author,text,like_count,timestamp,parent
UgxCbDBKJBbHAeismYp4AaABAg,@valille5989,Les non francophones comment ils fint pour comprendre. Ya une interprétation instantanée?,0,1758758400,root
UgxjLDsao4mH2EecaMV4AaABAg,@andimuhammadakbar2131,Ewako,0,1758758400,root
UgxE8jXWG1B-Oejrx7h4AaABAg,@boubaibrahim5916,11:59 qui est-ce ?,0,1758758400,root
UgzNfRoVTMUzChQrytR4AaABAg,@best93Jean,Bravo Ousmane le musulman ❤❤❤❤❤❤❤❤❤❤❤,0,1758758400,root
UgyK5rIReywS6bkwByp4AaABAg,@alyvihaablyvy7865,"Bravo. 
Il mérite !
✌️👍👌",0,1758758400,root
UgypCSQi_ZbrUOxlvW94AaABAg,@emiliegrisard2810,Bravo 🎉 oussman❤,0,1758758400,root
Ugw5rA-_wR_-1dSWqLl4AaABAg,@mlclogane,ET OUSEMANE BALLON D’OR 🎉🎉,1,1758758400,root
UgyL_TEgcJNvkr5PCZF4AaABAg,@odnlex7979,Le football va vite bravo ousmane,0,1758758400,root
UgxkqwvYpwptd7sfpOl4AaABAg,@ReineNehanda-d1u,"Dembelé, Mbappé, deux frères, s est l Afrique qui gagne 🦾🦾🦾",1,1758758400,root
Ugzl2nLZcJihLC931zJ4AaABAg,@Gamer77du75,Bro this is réal ! 💀,0,1758758400,root
UgzfPiTjhZIh9pP7kNF4AaABAg,@ReineNehanda-d1u,"Dembelé, Mbappé, deux frères, s est l Afrique qui gagne 🦾🦾🦾",3,1758758400,root
UgzfPiTjhZIh9pP7kNF4AaABAg.ANSToNBwgtWANSewgwEJD2,@AB-wp3uo,🤢🤢🤢🤮🤮🤮 alors reprend les et avec toutes leurs familles. pk il y a jamais eu d’équipe africaine gagner la coupe du monde 🤣🤣🤣🤣 allez va faire dodo,0,1758758400,UgzfPiTjhZIh9pP7kNF4AaABAg
UgzfPiTjhZIh9pP7kNF4AaABAg.ANSToNBwgtWANTDZ8sbWpz,@lamatriceprogrammeobsolete9248,babouche et couscous,0,1758740400,UgzfPiTjhZIh9pP7kNF4AaABAg
Ugxu0MRvXXTVIIZ-eXt4AaABAg,@Goldniz,👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾,0,1758758400,root
UgzHn-_w8hAsMvO83Vt4AaABAg,@ahmedgh9055,YOU   MUST  TAKE  THIS   BALLON DOR   AND   GIVE  IT TO  YAMAL   IF  YOU ARE   REALLY   A   MAN   THANKS    FROM A.G.HOSSEN MAURITIUS  ILE MAURICE   VISCA BARCA  GRACIAS   MAURITIUS,0,1758758400,root
